gene_id	gene_length	mff1	mff2	mff3	mff4	mfm1	mfm2	mfm3	mfm4	muf1	muf2	muf3	muf4	mum1	mum2	mum3	mum4
YQE_03676	971	324	221	255	303	178	182	202	131	347	875	610	467	464	455	421	543
YQE_03677	586	568	490	329	438	440	367	445	349	393	538	436	342	493	554	398	604
YQE_03678	2181	404	299	240	361	331	302	273	221	314	538	351	286	393	439	387	443
YQE_03679	306	90	61	52	50	49	37	34	57	70	110	61	56	76	96	66	65
YQE_03680	1319	378	301	246	355	349	314	257	252	286	382	345	389	402	404	313	484
YQE_03681	834	704	782	884	758	576	846	1017	433	1711	2033	2256	1391	2379	2858	3127	2548
YQE_03682	1059	624	716	806	708	507	671	783	385	1342	1645	1846	1191	1919	2255	2562	2381
YQE_03683	1919	5699	5929	4876	5291	4570	3352	5113	3431	3982	2924	3847	3281	4995	5916	4727	6247
YQE_03684	726	1	0	0	1	2	6	3	3	6	0	0	0	0	0	0	3
YQE_03685	666	172	76	451	478	171	317	89	86	1004	2109	1896	1494	1758	1426	1566	2432
YQE_03686	1131	4	0	0	0	0	0	0	0	4	13	0	0	1	0	0	0
YQE_03687	216	2	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0
YQE_03688	1407	0	0	1	0	0	1	0	0	0	0	0	0	11	12	0	8
YQE_03689	2603	1768	1406	1315	1390	1202	1160	1498	1098	1371	1530	1440	999	1319	1579	1078	1399
YQE_03690	918	0	1	0	2	3	3	3	0	3	0	2	2	6	11	1	5
YQE_03691	1104	9	5	4	6	10	2	3	3	11	2	12	5	7	11	4	1
YQE_03692	726	289	240	210	247	252	214	238	183	215	231	185	192	204	229	186	266
YQE_03693	359	3385	2723	4720	7236	4981	4618	2724	2987	1529	1087	1597	2127	2307	1980	2809	1858
YQE_03694	3030	2069	1709	1360	1818	1771	1618	1582	1216	1410	1640	1526	1261	1964	2027	1438	2023
YQE_03695	3518	404	272	243	302	270	262	258	221	350	461	325	246	429	502	299	401
YQE_03696	12306	10	3	8	6	104	14	9	7	18	11	11	19	760	650	18	477
YQE_03697	1104	2	0	0	3	0	3	0	0	0	1	0	0	0	0	0	0
YQE_03698	1042	559	428	382	456	375	381	422	267	512	701	569	474	430	546	361	573
YQE_03699	198	386	356	257	288	231	265	281	182	365	379	282	243	319	352	236	361
YQE_03700	1635	2070	1816	1543	1841	1403	1476	1799	1211	1823	1890	1688	1412	1617	1852	1337	2087
EMDPOG00000000053	73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
YQE_03701	657	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0
EMDPOG00000000208	72	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
EMDPOG00000000125	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YQE_03702	936	0	0	0	1	23	0	1	0	1	0	0	0	131	106	0	92
YQE_03703	402	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
YQE_03704	1341	1037	836	875	830	966	1177	934	601	950	704	716	637	989	1182	813	923
YQE_03705	1597	18	15	8	10	12	14	7	9	24	33	18	12	19	17	17	16
YQE_03706	1166	1479	1016	896	1310	760	773	1153	683	1435	2021	1412	880	925	1173	891	1087
YQE_03707	1089	1401	983	1006	1069	1078	1132	965	742	1308	1580	1247	1106	1407	1498	1090	1741
YQE_03708	1866	2616	2037	2122	2072	1927	2094	1861	1452	2738	2956	2626	2232	2935	3016	2334	3562
YQE_03709	1765	1	6	1	1	2	2	5	2	39	20	0	2	0	1	3	6
YQE_03710	1226	35	9	1	0	0	0	0	0	0	50	0	0	0	0	0	0
YQE_03711	411	22	8	21	16	10	8	4	1	11	12	12	24	11	4	9	8
YQE_03712	3354	566	277	300	384	264	248	189	147	450	784	391	397	379	386	293	400
YQE_03713	288	67	29	39	43	25	23	20	19	52	86	35	41	39	35	31	36
YQE_03714	2460	1	2	3	3	2	0	4	4	0	0	6	2	4	2	1	4
YQE_03715	1142	351	247	210	287	231	200	259	196	243	323	239	210	175	240	149	206
YQE_03716	1718	5045	4507	3329	4011	3806	3348	4032	2702	3186	3889	3839	2967	3444	3868	2891	4716
YQE_03717	822	142	110	102	127	133	118	110	76	132	143	124	67	147	152	110	145
YQE_03718	1112	79	66	82	64	90	119	84	64	116	65	80	88	93	120	85	99
YQE_03719	1635	1121	683	666	849	520	590	700	448	964	1437	959	712	737	841	699	860
YQE_03720	2031	17721	14459	9309	14496	8423	10108	7652	10113	3203	6001	4537	4759	8716	9557	8914	8792
YQE_03721	621	338	163	121	128	115	134	111	108	133	333	98	77	143	148	84	118
YQE_03722	969	446	217	164	147	117	175	141	113	145	475	118	82	169	141	89	148
YQE_03723	1925	777	612	455	1006	388	649	305	468	521	1150	612	439	731	821	939	936
YQE_03724	1428	305	139	134	111	79	114	88	93	129	251	74	60	130	120	92	141
YQE_03725	1787	721	537	473	598	521	502	473	383	469	642	538	438	594	648	548	627
YQE_03726	2255	376	252	203	320	266	256	238	190	376	460	389	359	387	440	328	477
YQE_03727	3202	3085	2517	2256	2583	2346	2488	2445	1823	3027	2827	2625	2717	2870	3511	2658	3198
YQE_03728	1899	615	315	352	342	301	265	248	191	312	738	294	218	343	388	409	405
YQE_03729	1707	492	356	312	443	376	329	315	256	508	741	523	445	478	634	500	567
YQE_03730	2384	1492	1079	890	1053	1020	809	942	626	1044	2094	1567	974	1229	1527	1170	1629
YQE_03731	405	105	60	56	68	65	53	75	45	86	102	85	76	76	96	70	95
YQE_03732	1265	112	41	9	20	20	18	11	12	14	151	15	8	17	22	16	14
YQE_03733	2379	42980	49479	34145	27269	40652	46860	47442	39556	16109	13485	16519	15148	20235	29044	23673	24152
YQE_03734	1081	113	85	91	132	147	134	141	123	97	155	130	139	162	151	158	204
YQE_03735	652	0	0	0	0	4	0	0	0	0	0	0	0	37	46	0	15
YQE_03736	2442	8	5	9	16	8	20	6	5	38	29	21	15	25	31	20	24
YQE_03737	556	212	142	139	121	184	144	157	113	140	198	176	134	160	195	144	170
YQE_03738	1206	135	125	103	140	119	125	124	89	107	131	135	96	116	142	131	136
YQE_03739	517	55	73	38	73	65	73	61	44	35	49	32	19	45	52	48	62
YQE_03740	1434	287	112	101	92	79	90	78	69	135	424	107	107	136	132	98	151
YQE_03741	1527	342	154	122	137	89	128	84	100	146	425	142	126	139	161	126	181
YQE_03742	2550	489	349	374	335	265	324	295	217	410	630	347	313	469	478	431	467
YQE_03743	3701	2355	1382	1608	1693	1405	1549	1201	1003	2500	3041	2102	1757	2432	2782	1976	2636
YQE_03744	4224	3	3	3	5	2	2	2	1	13	9	1	5	30	13	0	9
YQE_03745	405	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YQE_00281	1866	6	2	4	7	5	15	2	2	4	3	4	1	13	3	1	9
YQE_00419	1428	436	431	380	420	729	719	344	452	36	50	182	162	212	103	194	136
YQE_00005	354	0	2	0	1	0	0	0	1	0	0	1	0	0	3	0	0
YQE_02321	354	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
YQE_03106	3795	3	0	0	0	2	0	0	0	32	23	0	0	0	1	1	1
YQE_01227	459	0	0	0	0	7	11	7	6	1	0	0	0	25	37	16	20
YQE_01228	759	40	25	29	39	23	28	24	19	32	48	40	29	25	40	32	31
YQE_00481	615	2	0	1	0	0	3	3	0	0	0	0	0	0	1	0	1
YQE_01505	387	24	19	26	38	56	68	56	53	12	4	1	3	12	13	15	12
YQE_000010	1289	26115	29763	19347	17564	23897	23253	26708	14582	11848	7593	11654	9361	9135	11838	16203	12210
YQE_01396	1218	48	32	18	26	11	24	16	30	14	55	18	16	165	63	71	106
YQE_01218	813	164	138	108	152	100	70	69	70	169	226	174	128	115	142	113	163
YQE_01219	1734	2	0	0	1	59	16	8	5	4	0	0	3	404	359	13	188
YQE_01220	1512	241	175	161	320	384	365	326	213	234	333	282	240	372	406	387	596
YQE_02625	1458	246	97	113	79	79	105	96	77	147	344	158	98	126	180	140	172
YQE_02626	720	408	283	229	305	480	449	525	300	460	497	346	249	450	572	402	553
YQE_03054	2475	65	41	64	125	216	162	182	116	95	60	96	102	169	161	134	213
YQE_02373	11619	1535	1035	787	959	693	741	803	573	902	1588	918	574	806	932	657	1015
YQE_02374	1640	117	95	96	114	73	84	89	60	91	161	93	93	73	108	67	97
YQE_02375	1783	621	414	397	559	374	376	449	332	595	961	633	520	486	507	523	660
YQE_01133	1229	66	55	37	60	530	507	576	421	95	56	49	32	659	752	619	646
YQE_00673	615	1016	980	814	809	1894	1812	1812	1157	494	341	427	385	684	1004	786	931
YQE_00656	324	0	0	0	0	22	8	4	10	0	0	0	0	14	22	12	14
YQE_00565	825	0	0	0	0	8	0	0	0	1	0	0	0	50	53	0	26
YQE_00561	135	0	0	0	0	2	3	1	3	0	0	0	0	5	5	6	7
YQE_00616	387	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1
YQE_00093	918	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YQE_00307	612	137	98	102	105	98	115	94	84	87	113	94	91	71	117	81	108
YQE_00308	3108	1027	863	901	1000	769	781	782	720	786	982	851	562	962	1154	969	1064
YQE_00309	411	272	260	202	264	192	241	207	185	233	212	230	218	164	253	149	183
YQE_00160	726	1	4	1	0	15	27	6	17	2	3	1	3	12	12	23	19
YQE_00689	1881	103	51	47	59	50	52	49	39	46	70	54	42	61	58	76	67
YQE_00690	765	44	18	15	32	23	17	26	21	31	35	20	19	39	39	34	52
YQE_00691	1416	299	372	259	339	527	505	404	245	165	98	140	152	177	261	290	177
YQE_00494	2241	220	146	138	151	161	130	166	101	131	190	154	101	127	162	132	163
YQE_00495	1779	454	331	225	402	308	328	260	196	256	469	284	238	269	308	285	382
YQE_00496	2981	250	138	114	127	94	116	130	80	66	249	66	31	97	98	94	90
YQE_00497	1986	260	112	93	117	99	98	103	56	159	282	151	131	129	146	120	160
YQE_00498	2712	236	140	145	163	122	174	125	114	149	171	149	103	159	202	144	176
YQE_00499	1005	85	66	52	55	50	68	47	31	51	55	57	36	49	68	51	47
YQE_00963	2145	340	204	221	275	178	222	209	179	313	334	241	236	275	339	267	312
YQE_00964	1452	2	0	0	1	8	5	1	4	0	2	0	0	16	10	4	12
YQE_07053	1313	13	2	2	5	7	12	3	5	17	6	9	7	9	3	4	6
YQE_07054	711	189	154	150	187	132	157	103	112	187	205	187	149	193	207	200	267
YQE_07055	309	293	240	225	248	320	308	334	213	187	287	221	151	247	329	202	315
YQE_07056	1619	7091	6106	5031	5555	5375	5646	6511	5365	3432	3530	3231	2925	3268	4902	3004	3740
YQE_07057	969	129	93	79	95	102	82	96	72	133	151	141	113	144	135	128	149
YQE_07058	1194	522	405	357	345	330	256	355	287	335	651	446	415	385	519	359	618
YQE_07059	2139	408	222	176	204	224	184	171	191	164	449	144	102	157	161	121	151
YQE_07060	752	12699	11157	7329	8949	15177	12715	14713	10358	4525	5815	6466	4650	6550	7821	6853	8831
YQE_07061	2004	3599	2444	2176	2899	2167	1903	2517	1613	2386	3282	2455	1658	1992	2487	1969	2524
YQE_07062	2610	993	230	133	154	179	163	150	107	252	1493	276	228	378	313	226	346
YQE_07063	2975	1271	1121	1091	1202	1243	1180	988	959	928	1166	978	888	1198	1280	982	1219
YQE_07064	840	315	307	304	354	231	222	228	220	233	294	269	229	302	301	245	307
YQE_07065	1080	273	279	233	323	195	189	195	201	210	224	226	159	239	200	218	281
EMDPOG00000000278	132	9	9	3	4	8	12	4	6	10	11	8	13	16	12	7	16
YQE_07066	4104	827	831	920	1232	691	723	745	699	675	775	674	534	786	714	718	877
YQE_07067	1500	1630	1288	1282	1426	1647	1412	1539	1329	1682	1457	1559	1550	1272	1745	1307	1573
YQE_07068	1167	518	354	361	429	418	403	373	322	256	432	236	243	233	348	351	353
YQE_07069	819	256	151	126	146	133	123	135	78	117	259	135	126	123	148	145	167
YQE_07070	984	584	421	359	426	358	344	358	292	313	498	371	286	314	358	322	414
YQE_07071	762	87	42	34	32	17	23	29	19	14	108	15	10	30	41	21	43
YQE_07072	672	80	21	12	10	24	22	16	23	4	79	8	6	16	22	8	22
YQE_07073	1293	604	390	340	390	354	333	373	236	302	534	359	248	336	360	334	396
YQE_07074	1737	5001	3814	3380	4264	3187	3333	4235	3097	3700	4536	4062	2967	3228	3803	3079	3906
YQE_07075	790	17	12	11	7	37	16	5	10	23	24	15	19	129	154	21	93
YQE_07076	503	172	133	119	134	141	145	124	117	95	187	111	95	109	127	118	158
YQE_07077	1552	611	456	421	516	525	568	491	417	324	589	371	365	420	507	393	515
YQE_07078	1542	212	160	105	159	129	139	145	101	104	225	117	104	122	160	113	168
YQE_07079	1283	26	13	13	11	13	9	2	4	14	57	9	3	21	16	13	11
YQE_07080	1716	237	193	164	237	225	225	185	145	282	309	227	211	316	308	199	208
YQE_07081	2210	148	54	46	60	50	53	54	59	91	191	78	81	99	87	78	91
YQE_07082	1155	1	0	0	0	0	1	0	1	1	1	1	2	2	1	0	0
YQE_07083	666	1	0	0	0	2	0	0	0	3	6	5	0	1	0	1	0
YQE_07084	630	185	94	99	120	152	129	134	125	151	186	132	99	131	171	105	154
YQE_07085	2136	351	225	217	259	247	213	218	195	280	382	262	201	276	297	264	319
YQE_07086	2241	222	138	131	140	143	116	135	90	100	216	133	95	125	167	130	136
YQE_07087	1779	412	266	218	332	282	236	223	175	246	404	250	222	266	285	216	324
YQE_07088	2981	262	166	107	104	114	117	120	81	91	225	77	49	110	105	73	78
YQE_07089	1995	225	127	93	121	82	118	79	87	154	291	153	139	123	148	123	155
YQE_07090	2712	190	137	135	115	142	140	114	92	116	186	134	97	140	171	100	161
YQE_07091	1005	86	57	55	51	48	41	41	41	60	74	61	33	56	65	58	51
YQE_02262	741	13	6	19	12	72	58	48	44	22	9	9	1	63	95	71	76
YQE_02263	459	84	54	45	62	56	73	67	55	88	148	79	55	92	124	100	133
YQE_02264	2552	318	164	186	211	296	430	261	261	263	422	212	241	739	663	638	593
YQE_02265	1416	11011	8766	8672	10547	13036	11435	12940	9966	7078	7339	6814	5643	8687	10259	8812	10525
YQE_02266	2875	561	329	340	346	279	352	249	205	433	657	393	328	425	549	367	507
YQE_02267	1206	278	240	164	213	136	129	164	107	180	250	166	152	137	167	149	168
YQE_02268	972	5	2	2	3	8	15	9	14	26	21	13	7	15	81	14	22
YQE_02269	4404	1761	1510	1770	2686	2094	1925	1803	1535	1052	1343	835	577	923	925	1351	1417
YQE_08163	1080	345	171	113	102	116	122	94	105	185	307	145	69	200	261	238	281
YQE_08164	4689	6597	5574	4188	4989	9230	8532	7828	7573	4026	3049	3505	2715	3467	5084	3762	3911
YQE_08165	273	11	7	1	8	4	3	1	5	8	12	12	4	6	18	6	13
YQE_08166	898	28	19	10	18	20	21	16	12	37	39	32	18	39	57	27	40
YQE_08167	1608	704	359	653	760	337	341	221	190	1149	2675	2376	1402	1530	1465	1710	1816
EMDPOG00000000018	72	0	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0
YQE_08168	1009	395	300	225	300	260	238	298	204	258	355	313	243	282	309	241	337
YQE_08169	664	15726	14580	12039	15570	13930	13371	13739	10191	15005	15588	17923	15440	15088	17084	14694	17437
YQE_08170	744	662	520	359	461	448	411	438	286	376	453	446	326	344	507	313	486
YQE_08171	6536	898	389	471	436	399	543	339	350	897	1365	735	720	774	1020	647	954
YQE_08172	453	37	9	19	6	15	9	11	10	28	56	18	13	20	33	17	20
YQE_08173	2333	3467	3269	3055	3502	4217	3636	3549	2879	2045	1963	2232	1623	2853	3663	3011	3564
YQE_08174	486	1	0	0	3	37	1	2	0	5	0	4	4	196	198	3	124
YQE_08175	4350	4276	3166	3218	3395	3191	3128	3073	2641	3076	4328	3352	2813	3152	3476	2842	3792
YQE_08176	515	182	140	117	128	113	118	134	85	167	188	169	134	148	195	149	178
YQE_08177	2423	604	302	208	251	231	271	202	186	364	813	344	304	355	388	314	408
YQE_08178	2252	2103	1539	1462	1995	1528	1329	1448	1127	1310	1496	1233	1040	1290	1581	1172	1467
YQE_08179	4127	1165	614	700	744	675	777	422	594	1166	1423	1044	862	1236	1657	1071	1301
YQE_08180	3255	1091	727	690	796	582	640	574	552	794	995	812	653	847	895	756	966
YQE_08181	1736	5017	4352	3824	5550	4260	4067	4272	3419	4873	5668	5218	4427	5041	5869	5140	6828
YQE_08182	1478	260	156	104	160	124	122	126	81	225	362	164	151	152	230	141	227
YQE_08183	1675	2787	2137	1901	1648	2360	2103	2356	1814	1150	1309	1343	1110	1133	1335	1105	1746
YQE_08184	961	193	121	105	126	94	114	87	78	152	237	137	136	114	167	114	163
YQE_08185	2413	2518	2116	2022	3228	3472	3402	3045	2742	1757	1768	1843	2026	2081	2042	2051	2365
YQE_08186	2590	684	421	328	418	281	275	341	246	296	611	240	182	344	414	231	319
YQE_08187	456	89	53	76	68	44	63	55	40	97	97	119	66	96	123	86	140
YQE_08188	3081	601	367	385	448	331	411	354	319	683	804	718	476	677	924	541	929
YQE_08189	1606	1195	1052	897	982	906	997	1007	779	982	1046	1091	883	1037	1125	973	1127
YQE_08190	869	11	11	6	6	8	3	5	3	10	33	15	9	12	13	11	35
YQE_08191	1671	2	0	0	1	0	0	0	0	0	0	0	0	4	1	0	0
YQE_08192	483	11	0	1	0	1	0	0	0	1	2	0	1	3	0	1	0
YQE_08193	1017	9	0	1	0	1	0	0	0	0	5	0	0	1	2	0	1
YQE_03011	2907	11	11	14	15	5	20	3	7	28	28	20	19	13	19	9	17
YQE_00348	1386	1	0	0	1	0	1	3	0	1	0	0	0	1	1	0	1
YQE_00812	2283	29	19	16	19	16	19	12	12	12	31	23	16	56	54	38	50
YQE_01078	1644	4705	6159	1906	1204	18930	16040	15284	12877	245	43	47	19	917	1934	1262	880
YQE_00675	993	11	12	10	11	9	16	5	7	27	9	11	6	13	19	11	14
YQE_02547	306	11	20	9	28	11	12	15	13	24	9	6	7	11	14	13	15
YQE_02548	2136	86	63	81	105	106	99	91	65	64	107	70	59	89	82	70	102
YQE_01103	1095	0	0	0	2	0	1	0	0	5	3	0	0	0	1	0	0
YQE_00262	820	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0
YQE_02722	222	26	10	32	31	6	24	10	11	71	47	62	60	75	79	62	58
EMDPOG00000000166	123	0	5	4	6	0	3	1	2	4	5	2	3	2	3	2	2
YQE_02723	1722	417	170	119	122	86	71	78	55	121	509	133	116	124	105	101	112
YQE_02724	591	323	219	228	216	312	262	270	173	314	269	386	257	314	362	300	405
YQE_00138	961	0	0	0	0	18	0	0	0	1	0	0	0	73	80	0	51
YQE_01710	468	11	5	0	3	2	8	3	2	3	7	3	3	2	2	0	4
YQE_01711	826	25	17	8	17	17	19	10	12	11	19	7	5	12	13	8	7
YQE_01712	1752	1520	1670	1321	1178	1213	1420	1338	1028	766	692	746	569	1034	1097	942	960
YQE_03132	444	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YQE_10392	1695	104	57	51	53	49	44	42	62	76	154	71	53	88	82	48	74
YQE_10393	1322	392	212	200	265	207	184	209	177	221	455	232	199	237	220	207	281
YQE_10394	698	599	513	368	488	335	340	352	237	451	524	504	487	382	403	335	448
YQE_10395	2077	555	405	309	397	201	219	259	145	497	580	525	314	353	484	315	439
YQE_10396	2376	1362	1050	1029	982	920	1082	805	829	868	818	762	572	1033	1059	805	894
YQE_10397	1542	1417	1321	958	1264	1210	1283	1244	967	815	896	945	873	972	1018	947	1132
YQE_10398	1978	583	373	371	398	608	637	575	459	362	594	324	247	472	601	498	549
YQE_01121	483	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YQE_02913	2295	1	2	0	0	0	0	0	0	0	3	0	0	0	1	0	1
YQE_00241	583	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
YQE_00457	867	22287	21101	16365	16529	40261	33942	30875	28813	2267	1914	2925	2822	8841	10275	9902	6927
YQE_00458	1002	6	2	3	3	4	9	5	1	99	0	2	0	5	3	3	4
YQE_00459	982	0	1	0	0	0	1	0	0	91	0	0	1	1	0	1	0
YQE_04982	798	20	10	10	14	15	15	15	11	20	15	10	6	6	28	17	14
YQE_00985	216	2	0	1	0	0	1	1	1	0	0	0	0	1	2	0	1
YQE_09019	1593	5	7	5	18	25	4	15	3	9	14	22	33	127	54	20	164
YQE_09020	1239	28	24	18	19	18	24	21	27	14	19	16	7	32	23	25	30
YQE_09021	752	97	72	53	80	79	73	77	54	69	83	82	71	101	79	80	100
YQE_09022	453	175	125	105	137	116	108	78	69	191	323	322	237	184	162	169	241
YQE_09023	2213	130	97	89	103	195	192	107	103	160	181	128	127	541	621	198	484
YQE_05212	928	0	1	1	2	7	1	1	0	1	1	2	0	33	36	0	15
YQE_05213	583	0	1	1	0	1	1	0	0	0	2	1	0	17	20	0	10
YQE_01543	649	440	279	245	373	180	196	301	208	387	540	316	279	309	375	234	346
YQE_05121	735	0	1	0	0	0	0	0	0	0	0	1	0	7	0	0	3
YQE_05122	882	0	0	0	0	0	0	0	0	0	0	0	1	19	23	0	20
YQE_05123	5987	1	0	0	0	17	2	0	0	1	0	2	1	99	96	1	57
YQE_01145	1932	1725	1539	1336	1369	1323	1306	1209	1153	1118	1136	1077	1052	1159	1596	971	1295
YQE_02397	6950	819	704	628	539	603	758	618	545	519	370	446	444	471	746	579	572
YQE_04996	3717	370	255	246	264	264	308	260	211	304	415	284	225	266	362	264	337
YQE_04997	1446	1832	1407	1631	2016	1664	1812	1507	1295	1703	3608	2740	1703	2318	2479	2407	3042
YQE_04998	1095	113	43	27	42	31	31	31	20	22	119	37	35	36	42	32	37
